X_pos,Y_pos,Z_pos,X_pos_ref,Y_pos_ref,Z_pos_ref,X_vel,Y_vel,Z_vel,X_vel_ref,Y_vel_ref,Z_vel_ref,X_pos_err,X_pos_err_upper,X_pos_err_lower,Y_pos_err,Y_pos_err_upper,Y_pos_err_lower,Z_pos_err,Z_pos_err_upper,Z_pos_err_lower,X_vel_err,X_vel_err_upper,X_vel_err_lower,Y_vel_err,Y_vel_err_upper,Y_vel_err_lower,Z_vel_err,Z_vel_err_upper,Z_vel_err_lower
[1.66805272],[-3.96262805],[1.8908632],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.40395579],[-5.1152078],[2.2747969],0.0,0.0,0.0,[-12.0387145],45.70505090249868,-45.70505090249868,[13.76160808],45.70505090249868,-45.70505090249868,[-6.84667857],45.70505090249868,-45.70505090249868,[-0.06609398],9.585927185202289,-9.585927185202289,[5.53783487],,,[-0.93262996],,
[1.69893129],[-4.0677793],[1.93522369],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.54392875],[-5.25756248],[2.21802444],0.0,0.0,0.0,[-12.03203687],45.738866186209684,-45.738866186209684,[13.87335394],45.738866186209684,-45.738866186209684,[-6.86051976],45.738866186209684,-45.738866186209684,[0.33388152],9.588274088698148,-9.588274088698148,[5.5872929],,,[-0.69205973],,
[1.73103974],[-4.17458968],[1.973804],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.60542212],[-5.34051903],[1.92901538],0.0,0.0,0.0,[-12.0256604],45.77345969008674,-45.77345969008674,[13.98535592],45.77345969008674,-45.77345969008674,[-6.87566628],45.77345969008674,-45.77345969008674,[0.31882389],9.590620417887486,-9.590620417887486,[5.6000988],,,[-0.75732601],,
[1.76128814],[-4.28315157],[2.01279681],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.51241997],[-5.42809439],[1.94964085],0.0,0.0,0.0,[-12.01553067],45.808830043999116,-45.808830043999116,[14.0970641],45.808830043999116,-45.808830043999116,[-6.89070116],45.808830043999116,-45.808830043999116,[0.50648636],9.592966173191705,-9.592966173191705,[5.58540922],,,[-0.75174412],,
[1.7842196],[-4.39278237],[2.0577895],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.14657345],[-5.48154005],[2.24963405],0.0,0.0,0.0,[-11.99532659],45.8449758425064,-45.8449758425064,[14.20576005],45.8449758425064,-45.8449758425064,[-6.90420198],45.8449758425064,-45.8449758425064,[1.01020372],9.595311355031702,-9.595311355031702,[5.43479733],,,[-0.67504064],,
[1.80865002],[-4.49881428],[2.1072103],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.22152084],[-5.30159535],[2.47104007],0.0,0.0,0.0,[-11.97574535],45.8818956452324,-45.8818956452324,[14.31499244],45.8818956452324,-45.8818956452324,[-6.91471028],45.8818956452324,-45.8818956452324,[0.97906215],9.597655963827851,-9.597655963827851,[5.46161936],,,[-0.52541537],,
[1.82727277],[-4.60969265],[2.15377282],-10.16385899049034,4.300976257201554,-2.7427492301245526,[0.93113764],[-5.54391862],[2.32812618],0.0,0.0,0.0,[-11.95323043],45.91958797724556,-45.91958797724556,[14.42257688],45.91958797724556,-45.91958797724556,[-6.93098099],45.91958797724556,-45.91958797724556,[1.12574614],9.600000000000017,-9.600000000000017,[5.37922219],,,[-0.8135352],,
[1.84646241],[-4.7201498],[2.20130296],-10.16385899049034,4.300976257201554,-2.7427492301245526,[0.95948155],[-5.52285729],[2.37650676],0.0,0.0,0.0,[-11.92633908],45.95805132944602,-45.95805132944602,[14.52748437],45.95805132944602,-45.95805132944602,[-6.94432699],45.95805132944602,-45.95805132944602,[1.34456734],9.602343463967552,-9.602343463967552,[5.24537451],,,[-0.66730014],,
[1.86567874],[-4.82712989],[2.25154653],11.433099250438662,13.230672810844336,0.5627862177238487,[0.96081661],[-5.34900488],[2.51217884],0.9299476538589603,0.3845055524529894,0.14233369811535182,[9.70111802],32.1666023909188,-32.1666023909188,[23.56129514],32.1666023909188,-32.1666023909188,[-3.64358346],32.1666023909188,-32.1666023909188,[2.45489068],9.499769105821247,-9.499769105821247,[5.59021662],,,[-0.09726229],,
[1.89204091],[-4.93479174],[2.30091473],11.451698203515841,13.238362921893396,0.5656328916861558,[1.31810867],[-5.38309248],[2.46840979],0.9299476538589603,0.3845055524529894,0.14233369811535182,[9.75545849],32.19485944877182,-32.19485944877182,[23.67214522],32.19485944877182,-32.19485944877182,[-3.64653724],32.19485944877182,-32.19485944877182,[2.71702365],9.502137289258446,-9.502137289258446,[5.54250393],,,[-0.14768892],,
